id,title,year,ISBN,age_limit,price,count,description,author_id,img_path
100,Путешествие на край ночи,1932,978-5-17-110520-4,4,829,90,"Исповедь интеллигентного человека, представителя ""потерянного поколения"" прошедших сквозь ужасы Первой мировой войны и разуверившихся в жизни, была с восторгом принята частью литераторов - достаточно упомянуть Генри Миллера и Чарльза Буковски - и категорически отрицалась другими.",45,/bookshop/img/products/puteshestvie-na-krai-nochi.jpg
101,Американская трагедия,1925,978-5-17-110521-1,3,178,17,"Роман, признанный вершиной творчества Теодора Драйзера.
Книга, легшая в основу культового оскароносного фильма «Место под солнцем».
Суровая отповедь «американской мечте», основанная на реальных событиях.
Клайд Грифитс, «средний молодой американец с типично американским взглядом на жизнь», жаждет любой ценой утвердиться в высшем обществе. Ради романа с богатой наследницей Сондрой Финчли он решает поставить точку в отношениях с Робертой, простой работницей фабрики, одним роковым ударом…
Так на наших глазах начинает разворачиваться «Американская трагедия» – исключительная по силе и размаху история любви и предательства, убийства и раскаяния, иллюзий и их крушения.",46,/bookshop/img/products/amerikanskaya-tragediya.jpg
102,Финансист,1912,978-5-17-110522-8,3,948,68,"Главный герой, Фрэнк Каупервуд, разбогател всего за несколько дней. Во многом благодаря своей удивительной интуиции. Поначалу перед нами обычный паренек из маленького провинциального городка. Но шаг за шагом Драйзер показывает, как окружающая среда формирует у Фрэнка психологию коммерсанта и биржевого игрока. Он попадает в мир роскоши и больших денег, оказывается в круговороте крупнейших финансовых операций, вращается в обществе лучших дельцов своего времени. Постепенно амбициозный юноша превращается в беспринципного, властного и жаждущего наживы миллионера.",46,/bookshop/img/products/finansist.jpg
103,Стоик,1947,978-5-17-110523-5,3,893,4,"Фрэнк Каупервуд – гениальный предприниматель с безошибочным деловым чутьем, испробовав все возможности обогащения на Западе, решает отправиться в Англию, чтобы заняться развитием метрополитена в Лондоне, справедливо полагая, что и в Старом Свете ему удастся добиться успеха.
Став могущественным дельцом, Фрэнк со стоическим спокойствием воспринимает временные поражения в бизнесе и удары судьбы, оставаясь на вершине финансового олимпа. Но и его ждет обратная сторона успеха. Что же остается у человека, когда «миллионы рассеиваются, как дым»?",46,/bookshop/img/products/stoik.jpg
104,Титан,1914,978-5-17-110524-2,3,583,66,"Фрэнк Каупервуд – предприниматель с безошибочным деловым чутьем, жесткий и циничный бизнесмен. Выйдя из филадельфийской тюрьмы и совершив ряд удачных спекуляций во время биржевой паники, позволивших ему стать миллионером, он решает продолжить деятельность в Чикаго. Играя на тайных страхах и слабостях великого «города новой промышленности», он продолжает свой беспощадный путь наверх. Беспринципный не только в делах, но и в личной жизни, Фрэнк ищет свой идеал женщины, перебирая бесчисленное количество любовниц. Он идет по опасной тропе, приводящей его к ногам Беренис – прелестной маленькой хищницы, чья мать содержит тайный дом свиданий для политиков.",46,/bookshop/img/products/titan.jpg
105,Машенька,1926,978-5-17-110525-9,3,236,27,"Молодой эмигрант Лев Ганин в немецком пансионе заново переживает историю своей первой любви, оборванную революцией. Сила творческой памяти позволяет ему преодолеть физическую разлуку с Машенькой (прототипом которой стала возлюбленная
Набокова Валентина Шульгина), воссозданные его воображением картины дореволюционной России оказываются значительнее и ярче окружающих его декораций настоящего.",15,/bookshop/img/products/mashenka.jpg
106,Защита Лужина,1930,978-5-17-110526-6,3,597,75,"""Защита Лужина"" содержит в себе множество пластов, каждый из которых подробно исследует одну из тем, которые впоследствии станут ключевыми в творчестве Набокова. Здесь и тема двойничества, и соприкосновение мира реального и вымышленного, и столкновение искусства с жизнью, гениальности с обыденностью. Для главного героя, подающего большие надежды гроссмейстера Лужина, одержимого шахматами, жизнь становится партией на шахматной доске, партией, в которой невозможно выиграть, но можно успешно защищаться. Безупречный набоковский стиль, захватывающий сюжет, тонкий психологизм мгновенно сделали из молодого автора одну из главных фигур русского зарубежья. Как писала Вера Набокова: ""Эта вещь не похожа ни на одну из предыдущих, все новое: стиль, тема, обработка. Таких вообще еще русская литература не видала"". И с этим сложно не согласиться.",15,/bookshop/img/products/zashchita-luzhina.jpg
107,Приглашение на казнь,1936,978-5-17-110527-3,3,575,79,"В мещанской разновидности тоталитарного государства самым страшным преступлением является исключительность. Представления о чести, поэзии, любви утрачены в результате долгой деградации общества, превратившей людей в безликую публику. Парадоксальным образом суд в романе вершится не над Цинциннатом Ц., вся вина которого состоит в подлинности чувств и независимости взглядов, а над самим обществом, оказавшемся в плену своего иллюзорного благополучия.",15,/bookshop/img/products/priglashenie-na-kazn.jpg
108,Отчаяние,1934,978-5-17-110528-0,3,288,8,"Герман, берлинский коммерсант русско-немецкого происхождения, убежденный в своей гениальности, замышляет преступление, которое, подобно произведению искусства, должно стать шедевром изобретательности и безупречности исполнения. Жизнь, однако, оказывается намного остроумнее и художественней порочного замысла, кривое зеркало которого лишь искажает реальность.",15,/bookshop/img/products/otchaianie.jpg
109,Ночь нежна,1934,978-5-17-110529-7,3,830,53,"В центре романа ""Великий Гэтсби"" - любовная история с трагической развязкой. Главный герой, одновременно мечтатель и успешный делец, хочет завоевать любовь молодой женщины по имени Дейзи. Ради нее Гэтсби готов на все, вот только не всегда богатство означает счастье...
""Ночь нежна"" расскажет трагическую историю талантливого врача-психиатра Дика Дайвера, посвятившего жизнь исцелению жены от психического расстройства. Автор считал этот роман своей любимой книгой.",26,/bookshop/img/products/noch-nezhna.jpg
110,Последний магнат,1941,978-5-17-110530-3,3,246,5,"Последний роман великого Фицджеральда, опубликованный уже после его смерти. История о «золотом веке» Голливуда – той безвозвратно ушедшей эпохе, когда кинематограф еще был не бизнесом, а Искусством.
Киномагнат Монро Стар (прототипом которого послужил легендарный продюсер Ирвинг Тальберг) – настоящий баловень судьбы, счастливчик, поймавший «американскую мечту» за хвост. В его успешной жизни нет места слабостям, кроме одной – любви к юной старлетке, прекрасно понимающей: на «фабрики грез», где продается все, порядочные девушки стоят очень дорого.",26,/bookshop/img/products/poslednii-magnat.jpg
111,Хижина дяди Тома,1852,978-5-17-110531-0,2,769,59,"Персонажи романа - невольник дядя Том, покорно встретивший свою судьбу, мулат Гаррис и его мужественная жена Элиза, совершившие побег в Канаду, наложница плантатора Касси, отомстившая за свое поруганное достоинство, - необычайно жизненны и колоритны.",47,/bookshop/img/products/khizhina-dyadi-toma.jpg
112,Унесённые ветром,1936,978-5-17-110532-7,3,971,93,"«Унесенные ветром» — история о молодой южанке, дочери состоятельного владельца плантаций в Джорджии, чья беззаботная юность прекращается с началом Гражданской войны. В один миг девушке пришлось повзрослеть: мать умерла, отец болен, а родное поместье разграбили янки.",48,/bookshop/img/products/unesennye-vetrom.jpg
113,Поющие в терновнике,1977,978-5-17-110533-4,3,846,56,"Захватывающая семейная сага, пронзительная история о беспримерной любви длиною в жизнь – роман Колин Маккалоу по праву получил всемирное признание, а блестящая экранизация 1983 года принесла ему еще большую популярность.
В этой книге есть все: экзотическая обстановка, неожиданные повороты сюжета, исключительная эмоциональность, тонкие и убедительные психологические портреты. Но прежде всего это подлинный гимн великой любви во всех ее проявлениях: любви к родной земле, к детям и родителям, к Богу… и вечной любви мужчины и женщины.",49,/bookshop/img/products/poiyushchie-v-ternovnike.jpg
114,Женщина в белом,1859,978-5-17-110534-1,3,664,30,"«Женщина в белом» начинается с жуткой встречи Уолтера Хартрайта с загадочной женщиной, одетой в белое, на залитой лунным светом лондонской дороге. Уолтер получает место учителя рисования в имении Фэрли, казалось бы, что может произойти, но Уолтера вовлекают в зловещие интриги сэра Персиваля Глайда и его «очаровательного» друга графа Фоско, любителя белых мышей, ванильных конфет и яда. Безумие бродит по коридорам английских загородных и сумасшедших домов.",50,/bookshop/img/products/zhenshchina-v-belom.jpg
115,Лунный камень,1868,978-5-17-110535-8,3,194,7,"Индуистский бог Вишну повелел, чтобы «Лунный камень охранялся тремя жрецами день и ночь, до скончания века» и предсказал несчастье тому, кто осмелится им завладеть. Захватывающее продолжение истории – в самом первом и самом лучшем, по словам Томаса Элиота, детективном романе английской литературы.",50,/bookshop/img/products/lunnyi-kamen.jpg
116,Гроздья гнева,1939,978-5-17-110536-5,3,463,85,"Во время Великой депрессии семья разоренных фермеров вынуждена покинуть свой дом в Оклахоме. По знаменитой ""Road 66"" через всю Америку, как и миллионы других безработных, они едут, идут и даже ползут на запад, в вожделенную Калифорнию. Но что их там ждет? И есть ли хоть какая-то надежда на светлое будущее?",51,/bookshop/img/products/grzdya-gneva.jpg
117,О мышах и людях,1937,978-5-17-110537-2,3,264,64,"Книга, включенная Американской библиотечной ассоциацией в список запрещенных вместе с ""451° по Фаренгейту"" Р. Брэдбери ""Над пропастью во ржи"" Дж.Д. Сэлинджера. Обе ее экранизации стали заметным событием в киномире: картина 1939 года была номинирована на 4 премии ""Оскар"", фильм 1992-го — на ""Золотую пальмовую ветвь"".",51,/bookshop/img/products/o-myshakh-i-lyudyakh.jpg
118,К востоку от Эдема,1952,978-5-17-110538-9,3,732,10,"""К востоку от Эдема"" – книга о страстной любви и ненависти, об ошибках и преступлениях, о доверии и предательстве. В основе сюжета – история двух сыновей калифорнийца Адама Траска, своеобразных Каина и Авеля. Каждый из них ищет свой путь в этом мире и постоянно оказывается перед выбором: творить добро или зло, стать жертвой или безжалостным хищником.",51,/bookshop/img/products/k-vostoku-ot-edema.jpg
119,Дом духов,1982,978-5-17-110539-6,3,931,65,"«Дом духов» - это волнующее эпическое повествование об истории семьи Труэба. Здесь все реально и все волшебно, начиная с девушки с зелеными волосами, наделенной даром ясновидения: реальный пласт с уютом семейного дома, жизнью многострадальной страны, политическими бурями и тяжким трудом, стихией бунта, доверием, предательством, расстрелами, пытками, судьбой Поэта, за которой просматривается история певца Виктора Хары, и отражение этого зримого мира в волшебном зеркале предчувствий, роковых предсказаний, безумной страсти, которой не в силах помешать даже смерть.",52,/bookshop/img/products/dom-dukhov.jpg
120,Паутина Шарлотты,1952,978-5-17-110540-2,1,139,65,"«Паутина Шарлотты» — сказочная повесть о настоящей дружбе, о том, что в минуту смертельной опасности спасти может только верный друг. Однажды поросёнок Вильбур узнал, что его, как и других свиней на ферме, откармливают для праздничного жаркого, и страшно испугался. Что же делать? Как спастись? И тут ему на помощь приходит серая паучиха Шарлотта, с которой он не так давно подружился. Благодаря её хитроумному плану Вильбур не только не попал на рождественский стол в качестве угощения, но стал знаменитостью и любимцем всей округи.",53,/bookshop/img/products/pauitna-sharlotty.jpg
121,Маленький принц,1943,978-5-17-110541-9,1,398,7,"Философская сказка о дружбе, любви и вечных истинах бытия. Маленький принц — юный путешественник с далекого астероида, путешествует по разным планетам, встречая взрослых и задавая им детские, но очень глубокие вопросы. Его невинный взгляд позволяет увидеть самую суть вещей, спрятанную за привычной оболочкой. Книга учит заботиться о ближних и нести ответственность за тех, кого приручили. Трогательная история о том, как важно сохранять способность удивляться.",54,/bookshop/img/products/malenkij-prints.jpg
122,Планета людей,1939,978-5-17-110542-6,3,328,2,"«Планета людей» — вторая по популярности книга Экзюпери — после выхода в свет в 1939 году сразу же стала бестселлером. Это своего рода лирический репортаж — прихотливый набор воспоминаний, портретов, впечатлений от путешествий, бытовых зарисовок… Разнообразные голоса сливаются в одну неповторимую мелодию, звучащую на протяжении всего текста.",54,/bookshop/img/products/planeta-lyudei.jpg
123,Ночной полёт,1931,978-5-17-110543-3,2,287,99,"Аргентина, двадцатые годы XX века. Буря, зародившаяся в глубине материка, движется от Кордильер к морю, по пути захватив в плен маленький почтовый самолет, выполняющий один из первых регулярных ночных рейсов. Непроглядный мрак, вой ветра, воздушные ямы: кажется, что двигатель вот-вот заглохнет. А вдобавок ко всему - надвигающийся грозовой фронт и малый остаток топлива на борту. В страшном напряжении пилот и радист ведут неравную борьбу со стихией. Удастся ли победить и выполнить ответственное задание? Смогут ли они совершить посадку или придется погибнуть во имя общего дела?",54,/bookshop/img/products/nochnoy-polet.jpg
124,Хроники Нарнии,1956,978-5-17-110544-0,1,820,46,"Больше 70 лет назад британский писатель и учёный Клайв С. Льюис придумал Нарнию – волшебный мир, в котором всегда торжествует добро. Дети из разных поколений одной семьи снова и снова открывают дверь в этот мир, чтобы сделать свой выбор между добром и злом, жизнью и смертью, любовью и предательством. Нарния покоряет читателей всех возрастов: юных увлекают невероятные приключения и колдовские тайны, взрослые задумываются над глубоким философским смыслом книг. Но все они рано или поздно понимают: ""Некоторые путешествия заводят нас далеко от дома. Некоторые приключения приводят нас к нашей судьбе"".",55,/bookshop/img/products/khroniki-narnii.jpg
125,Властелин колец,1954,978-5-17-110545-7,2,100,84,"Трилогия ""Властелин Колец"" бесспорно возглавляет список ""культовых"" книг ХХ века. Ее автор, Джон Р.Р. Толкин, профессор Оксфордского университета, специалист по древнему и средневековому английскому языку, создал удивительный мир — Средиземье, который вот уже без малого пятьдесят лет неодолимо влечет к себе миллионы читателей. Великолепная кинотрилогия, снятая Питером Джексоном, в десятки раз увеличила ряды поклонников как Толкина, так и самого жанра героического фэнтези.",56,/bookshop/img/products/vlastelin-kolets.jpg
126,Хоббит,1937,978-5-17-110546-4,2,391,81,"""В земле была нора, а в норе жил хоббит"". Эти слова написал Джон Рональд Руэл Толкин на обороте школьной экзаменационной работы, которую проверял одним жарким днём. И кто бы мог подумать, что именно из них, как из волшебного зёрнышка, произрастёт одно из самых известных произведений мировой литературы.",56,/bookshop/img/products/khobbit.jpg
127,Сильмариллион,1977,978-5-17-110547-1,2,222,0,"""Сильмариллион"" – один из масштабнейших миров в истории фэнтези, мифологический канон, который Джон Руэл Толкин составлял на протяжении всей жизни. Свел же разрозненные предания Земель Белерианда воедино, подготовив текст к публикации, сын Толкина Кристофер.",56,/bookshop/img/products/silmarillion.jpg
128,Гарри Поттер и философский камень,1997,978-5-17-110548-8,1,621,8,"Одиннадцатилетний мальчик-сирота Гарри Поттер живет в семье своей тетки и даже не подозревает, что он - настоящий волшебник. Но однажды прилетает сова с письмом для него, и жизнь Гарри Поттера изменяется навсегда. Он узнает, что зачислен в Школу Чародейства и Волшебства, выясняет правду о загадочной смерти своих родителей, а в результате ему удается раскрыть секрет философского камня.",57,/bookshop/img/products/garri-potter-i-filosofskii-kamen.jpg
129,Гарри Поттер и тайная комната,1998,978-5-17-110549-5,1,757,6,"Когда на Бирючинной улице внезапно появляется маленький домовый эльф Добби и начинает требовать от Гарри, чтобы тот не возвращался в «Хогварц», Гарри почти уверен, что все это – происки его заклятого врага Драко Малфоя. Но после, уже в школе, он видит, что зловещие надписи на стене темного коридора словно бы вторят пророчествам Добби: вот-вот здесь произойдет страшное…
На второй год обучения в «Хогварце» Гарри вместе с Роном и Гермионой пытается разыскать мифическую Тайную комнату и ее смертоносный секрет, а попутно встречается с магическими животными, находит заколдованный дневник и узнает некоторые факты из прошлого Огрида.",57,/bookshop/img/products/garri-potter-i-tainaya-komnata.jpg
130,Гарри Поттер и узник Азкабана,1999,978-5-17-110550-1,1,493,89,"После фиаско в колдовстве гигантских размеров Гарри Поттер сбегает от Дурслеев из Литтл Уинджинга на ночном автобусе в предчувствии серьезной беды. Но министерство магии занято ловлей более крупной рыбы – Сириуса Блэка, преданного последователя Лорда Вольдеморта и печально известного заключенного, сбежавшего из тюрьмы Азкабан. Говорили, что он охотится за Гарри Поттером и министр магии отправил дементоров Азкабана проверить школьные угодья. В третий год обучения Гарри в «Хогварце» его преследуют темные слухи и смертельные знамения, в то время как он узнает новую правду о своем прошлом и сталкивается лицом к лицу с одним из самых преданных слуг Черного Лорда.",57,/bookshop/img/products/garri-potter-i-uznik-azkabana.jpg
131,Гарри Поттер и кубок огня,2000,978-5-17-110551-8,1,322,98,"С момента, когда Смертный Знак загорелся в небе во время финального матча Кубка мира по квидишу, опасность неотступно преследует Гарри Поттера. Выбранный Кубком Огня, чтобы представлять Хогварц и защищать честь школы в легендарном Тремудром Турнире, Гарри проходит через сложнейшие испытания, которые могли бы стать вызовом для самых выдающихся колдунов. И первое из них – встреча с кровожадным венгерским хвосторогом. Но для Гарри соревнования Турнира – лишь прелюдия к гораздо более зловещему испытанию. В туманах деревушки Малый Висельтон, где находятся могилы предков Тома Реддля, Гарри сталкивается с самой черной магией.",57,/bookshop/img/products/garri-potter-i-kubok-ognya.jpg
132,Гарри Поттер и Орден Феникса,2003,978-5-17-110552-5,1,359,7,"На пятом году обучения Гарри Поттера в «Хогварце» колледж «Слизерин» обретает все больше влияния, пока Думбльдор отстранен от руководства школой, а инспекционная бригада патрулирует коридоры. Слизеринцам предстоит выбрать, на чьей они стороне. Злотеус Злей затеял опасную двойную игру. Старейший и благороднейший дом Блэков разделен на два фронта – Беллатрикс Лестранж сталкивается в смертельной схватке с Сириусом Блэком.",57,/bookshop/img/products/garri-potter-i-orden-feniksa.jpg
133,Гарри Поттер и Принц-полукровка,2005,978-5-17-110553-2,1,155,92,"Черный Лорд вербует сторонников и выбирает слизеринца Драко Малфоя для исполнения своей воли и важнейшей миссии в самом «Хогварце» в конце шестого учебного года Гарри Поттера. Профессор Гораций Дивангард, вновь занявший пост преподавателя зельеделия, видит, как раскрывается самая страшная тайна Тома Реддля.",57,/bookshop/img/products/garri-potter-i-prints-polukrovka.jpg
134,Гарри Поттер и Дары Смерти,2007,978-5-17-110554-9,1,867,74,"Лето перед последним курсом обучения Гарри в Хогвартсе. Раскол в волшебном мире произошёл окончательно, и сторонники Волан-де-Морта становятся всё сильнее. Служащие министерства магии один за другим подчиняются им, а новым директором Хогвартса стал Северус Снегг, убивший Дамблдора. Гарри Поттер пока скрывается от врагов, однако они подбираются к нему всё ближе. А ведь просто отсиживаться в безопасном месте он не может – необходимо найти крестражи, содержащие части души Волан-де-Морта, не уничтожив которые, нельзя надеяться на победу. Гарри принимает решение не возвращаться в школу и вместо этого вместе с друзьями отправляется на поиски.",57,/bookshop/img/products/garri-potter-i-dary-smerti.jpg
135,Игра престолов,1996,978-5-17-110555-6,4,583,5,"Лорды и герои, воины и чернокнижники совершают великие деяния и предательства, плетут политические интриги, борются за власть, любят и погибают - все ради того, чтобы исполнилось древнее пророчество о мире Семи Королевств- мире суровых земель вечного холода и цветущих земель вечного лета.",58,/bookshop/img/products/igra-prestolov.jpg
136,Битва королей,1998,978-5-17-110556-3,4,395,65,"Король умер, да здравствует король! Да, но какой из королей? Кто воссядет на Железный трон после смерти Роберта Баратеона? Кто поддержит его в борьбе с претендентами? И на что он готов, чтобы победить в этой борьбе?",58,/bookshop/img/products/btv-korolei.jpg
137,Буря мечей,2000,978-5-17-110557-0,4,725,13,"В неприступном замке плетет сети изощренного заговора могущественная чернокнижница... В далеких, холодных землях собирает силы юный властитель Севера Робб от дома Старк... Новые и новые воины сходятся под знамена Даэнерис Бурерожденной, правящей последними из оставшихся в мире драконов... Но ныне в разгорающийся пожар сражений вступают еще и Иные — армия живых мертвецов, коих не остановить ни властью оружия, ни властью магии. Буря мечей грядет в Семи Королевствах — и многие падут под ударом этой бури.",58,
138,Пир стервятников,2005,978-5-17-110558-7,4,709,41,"Война Пяти Королей наконец завершена, и дом Ланнистер с союзниками празднует победу. Однако до мира и спокойствия еще очень далеко! Властитель Севера Робб от дома Старк сумел подавить мятеж в далеких северных землях, однако его родичи, похоже, слишком слабы, чтобы удержать завоеванные земли… Снова собираются воедино бандиты, ренегаты и уцелевшие повстанцы. Снова угрожает смертельная опасность Железному Трону Семи Королевств — и стервятники уже чуют приближения нового пира.",58,
139,Танец с драконами,2011,978-5-17-110559-4,4,350,10,"«Танцем драконов» издавна звали в Семи Королевствах войну.
Но теперь война охватывает все новые и новые земли.
Война катится с Севера — из-за Стены. Война идет с Запада — с Островов. Войну замышляет Юг, мечтающий посадить на Железный Трон свою став-ленницу. И совсем уже неожиданную угрозу несет с Востока вошедшая в силу «мать драконов» Дейенерис... Что будет? Кровь и ненависть. Любовь и политика. И прежде всего — судьба, которой угодно было свести в смертоносном танце великие силы.",58,/bookshop/img/products/tanets-s-drakonami.jpg
140,Колесо времени,2013,978-5-17-110560-0,2,840,19,"«Колесо времени» — это эпическая фэнтези-серия, написанная американским автором Робертом Джорданом и завершенная Брендоном Сандерсоном после смерти Джордана. Серия состоит из 14 книг и охватывает обширный мир, наполненный магией, мифами и сложными персонажами.
Сюжет вращается вокруг борьбы между силами Света и Тьмы, а также судьбы главного героя — Ранда Ал’Тора, который оказывается в центре древнего пророчества. В мире «Колеса времени» время циклично, и события повторяются в разных воплощениях. Книги исследуют темы власти, дружбы, предательства и самопожертвования.",59,
141,Тёмные начала,2000,978-5-17-110561-7,2,941,85,"Фантастическая трогательная философская притча о приключениях необычной девочки Лиры Белаквы, учащейся в городе Оксфорде и живущей в параллельном мире. Жизнь Лиры бесповоротно меняется после того, как она предотвращает попытку убийства ее дяди, могущественного лорда Азриэля, и случайно слышит загадочный разговор о таинственных частицах под названием ""Пыль"", грозящих уничтожить все миры. Между тем в городе начинают пропадать маленькие дети. Чтобы спасти дядю и друга Роджера, похищенного для страшных экспериментов, а также раскрыть тайну исчезновения детей, Лира отправляется на Крайний Север!",60,
142,451 градус по Фаренгейту,1953,978-5-17-110562-4,3,183,23,"Роман-пророчество, роман-предупреждение, роман о мире, в котором все письменные издания безжалостно уничтожаются специальным отрядом пожарных, телевидение успешно служит всеобщему оболваниванию, карательная психиатрия решительно разбирается с редкими инакомыслящими, а на охоту за неисправимыми диссидентами выходит электрический пес.",61,
143,Вино из одуванчиков,1957,978-5-17-110563-1,2,682,24,"Яркое, фантастическое лето 1928 года: двенадцатилетний Дуглас Сполдинг ведет записи о событиях , которые складываются в отдельные истории, гротескные искажения ординарных будней маленького городка, где живут Дуглас и его семья. Там все кажется не тем, чем является, а сила детского воображения создает новую реальность, которую не отличить от вымысла.",61,/bookshop/img/products/vino-iz-oduvanchikov.jpg
144,Марсианские хроники,1950,978-5-17-110564-8,2,148,96,"Хотите покорить Марс, этот странный изменчивый мир, населенный загадочными, неуловимыми обитателями и не такой уж добрый к человеку? Дерзайте. Но только приготовьтесь в полной мере испить чашу сожалений и тоски: тоски по зеленой планете Земля, на которой навсегда останется ваше сердце. Цикл удивительных марсианских историй Рэя Брэдбери – классическое произведение, вошедшее в золотой фонд мировой литературы.",61,/bookshop/img/products/marsianskie-khroniki.jpg
145,Говорящий свёрток,1983,978-5-17-110565-5,1,579,15,"Джеральд Даррелл - известный английский писатель-натуралист и путешественник. Герои его знаменитой сказочной повести ""Говорящий сверток"" попадают в удивительную страну Мифландию и помогают ее жителям одолеть злых и коварных василисков.",62,
146,Моя семья и другие звери,1956,978-5-17-110566-2,1,698,23,"С неизменной любовью, безупречной точностью и неподражаемым юмором Даррелл рассказывает о пятилетнем пребывании своей семьи (в том числе старшего брата Ларри, то есть Лоуренса Даррелла — будущего автора знаменитого «Александрийского квартета») на греческом острове Корфу.",62,
147,Перегруженный ковчег,1974,978-5-17-110567-9,2,934,60,"В книге рассказывается о шестимесячном путешествии 23-летнего автора и его компаньона-орнитолога по тропическим лесам Западной Африки и их забавных, а порой и довольно опасных приключениях в поисках редких животных для английских зоопарков. Увлекательно, с любовью и неподражаемым юмором Даррелл повествует о поведении и повадках птиц и зверей, обитающих в джунглях, рассказывает о хитростях охоты за ними и особенностях содержания маленьких пленников в неволе, заставляет переживать за их судьбу и вместе с автором восхищаться богатством и разнообразием мира природы.",62,
